"","state","city","holc_grade","count_tracts","perc_tracts"
"704","TX","Port Arthur","B",2,0.29
"705","TX","Port Arthur","C",1,0.14
"706","TX","Port Arthur","D",3,0.43
"707","TX","San Antonio","A",2,0.1
"708","TX","San Antonio","B",8,0.4
"709","TX","San Antonio","C",7,0.35
"710","TX","San Antonio","D",3,0.15
"711","TX","Waco","A",4,0.16
"712","TX","Waco","B",6,0.24
"713","TX","Waco","C",10,0.4
"714","TX","Waco","D",5,0.2
"715","UT","Ogden","A",3,0.13
"716","UT","Ogden","B",6,0.26
"717","UT","Ogden","C",5,0.22
"718","UT","Ogden","D",9,0.39
"719","UT","Salt Lake City","A",4,0.14
"720","UT","Salt Lake City","B",7,0.24
"721","UT","Salt Lake City","C",9,0.31
"722","UT","Salt Lake City","D",9,0.31
"723","VA","Lynchburg","A",4,0.12
"724","VA","Lynchburg","B",3,0.09
"725","VA","Lynchburg","C",15,0.47
"726","VA","Lynchburg","D",10,0.31
"727","VA","Newport News","B",2,0.12
"728","VA","Newport News","C",6,0.38
"729","VA","Newport News","D",8,0.5
"730","VA","Norfolk","A",5,0.05
"731","VA","Norfolk","B",16,0.17
"732","VA","Norfolk","C",45,0.47
"733","VA","Norfolk","D",30,0.31
"734","VA","Richmond","A",7,0.15
"735","VA","Richmond","B",15,0.31
"736","VA","Richmond","C",14,0.29
"737","VA","Richmond","D",12,0.25
"738","VA","Roanoke","A",4,0.12
"739","VA","Roanoke","B",5,0.16
"740","VA","Roanoke","C",14,0.44
"741","VA","Roanoke","D",9,0.28
"742","WA","Seattle","A",12,0.2
"743","WA","Seattle","B",19,0.32
"744","WA","Seattle","C",18,0.3
"745","WA","Seattle","D",11,0.18
"746","WA","Spokane","A",8,0.15
"747","WA","Spokane","B",13,0.25
"748","WA","Spokane","C",21,0.4
"749","WA","Spokane","D",11,0.21
"750","WA","Tacoma","A",4,0.09
"751","WA","Tacoma","B",10,0.21
"752","WA","Tacoma","C",25,0.53
"753","WA","Tacoma","D",8,0.17
"754","WI","Kenosha","A",1,0.04
"755","WI","Kenosha","B",4,0.17
"756","WI","Kenosha","C",10,0.43
"757","WI","Kenosha","D",8,0.35
"758","WI","Madison","A",5,0.13
"759","WI","Madison","B",9,0.23
"760","WI","Madison","C",15,0.38
"761","WI","Madison","D",10,0.26
"762","WI","Milwaukee Co.","A",10,0.09
"763","WI","Milwaukee Co.","B",29,0.26
"764","WI","Milwaukee Co.","C",49,0.44
"765","WI","Milwaukee Co.","D",24,0.21
"766","WI","Oshkosh","B",4,0.17
"767","WI","Oshkosh","C",8,0.33
"768","WI","Oshkosh","D",12,0.5
"769","WI","Racine","A",1,0.03
"770","WI","Racine","B",9,0.26
"771","WI","Racine","C",15,0.43
"772","WI","Racine","D",10,0.29
"773","WV","Charleston","A",5,0.12
"774","WV","Charleston","B",11,0.26
"775","WV","Charleston","C",14,0.33
"776","WV","Charleston","D",13,0.3
"777","WV","Huntington","A",8,0.21
"778","WV","Huntington","B",10,0.26
"779","WV","Huntington","C",16,0.42
"780","WV","Huntington","D",4,0.11
"781","WV","Wheeling","A",3,0.12
"782","WV","Wheeling","B",4,0.17
"783","WV","Wheeling","C",9,0.38
"784","WV","Wheeling","D",8,0.33
