name,state,type,confirmed,sign,ordinance,showcase,id,Status
Kearney,MO,"0","3","3","0","0","924",Probable
El Norte,CA,"1","3","0","0","0","923",Probable
Roachdale,IN,"1","3","2","0","0","922",Probable
Nashville,IL,"1","4","1","0","0","921",Surely
Kennewick,WA,"0","0","0","0","0","920",Do not Know
Kingman,AZ,"1","3","3","0","0","919",Probable
Evening Shade,AR,"0","4","0","0","0","918",Surely
Colville,WA,"1","2","3","0","0","917",Possible
Conestoga,PA,"1","3","0","0","0","916",Probable
Glens Falls,NY,"1","1","0","0","0","915",Unlikely
Irwin,PA,"1","2","0","0","0","914",Possible
Trent Woods,NC,"1","2","0","0","0","913",Possible
Warren,IN,"1","2","0","0","0","912",Possible
Tilghman Island,MD,"1","3","3","3","1","911",Probable
Auburn,IL,"1","3","0","0","0","910",Probable
Thayer,IL,"1","3","0","0","0","909",Probable
Virden,IL,"1","3","0","0","0","908",Probable
Divernon,IL,"1","3","0","0","0","907",Probable
Pawnee,IL,"1","3","0","0","0","906",Probable
Girard,IL,"1","3","0","0","0","905",Probable
Dupo,IL,"1","3","0","0","0","904",Probable
Rosman,NC,"1","3","0","0","0","903",Probable
Shelton,WA,"1","3","0","0","0","902",Probable
Glastonbury,CT,"3","3","0","0","0","901",Probable
Stockton,MO,"1","3","0","0","0","900",Probable
Winston County,AL,"1","3","0","0","0","899",Probable
Chippewa Township,OH,"1","3","0","0","0","898",Probable
Brewster,WA,"1","2","0","3","0","897",Possible
Hillsboro,KS,"1","3","0","0","0","896",Probable
Fenton,MI,"1","3","0","0","0","895",Probable
Floral Park,NY,"1","3","0","0","0","894",Probable
Crawford County,AR,"0","0","0","0","0","893",Do not Know
Southport,FL,"2","3","2","0","0","892",Probable
Salem,IL,"1","4","0","0","0","891",Surely
Ridgefield,CT,"0","3","0","0","0","890",Probable
Lowell,IN,"1","3","0","0","0","889",Probable
Weston,IL,"0","0","0","0","0","888",Do not Know
Santa Cruz,CA,"0","0","0","0","0","887",Do not Know
Davy,WV,"1","2","0","0","0","886",Possible
Keystone,WV,"0","0","0","0","0","885",Do not Know
Milton,OR,"1","4","0","0","0","884",Surely
Pana,IL,"1","4","2","0","0","883",Surely
Vergennes,IL,"1","4","0","3","0","882",Surely
McLeansboro,IL,"1","4","2","0","0","881",Surely
Carterville,IL,"1","4","0","0","1","880",Surely
Crainville,IL,"1","4","0","0","0","879",Surely
Johnston City,IL,"1","4","0","0","0","878",Surely
West Frankfort,IL,"1","4","3","0","0","877",Surely
Benton,IL,"1","4","0","0","0","876",Surely
Herrin,IL,"1","4","0","0","0","875",Surely
Sesser,IL,"1","4","0","3","0","874",Surely
Mulkeytown,IL,"1","4","0","0","0","873",Surely
Zeigler,IL,"1","4","0","0","0","872",Surely
Christopher,IL,"1","4","0","0","0","871",Surely
Eldorado,IL,"1","4","2","0","0","870",Surely
Royalton,IL,"1","4","0","0","0","869",Surely
Bunker Hill,IL,"1","4","0","0","0","868",Surely
Mount Olive,IL,"1","4","0","3","0","867",Surely
Gillespie,IL,"1","4","3","3","0","866",Surely
Hardin,IL,"1","4","0","0","0","865",Surely
White Hall,IL,"1","4","0","3","0","864",Surely
Buffalo,IL,"1","4","2","0","0","863",Surely
Spaulding,IL,"1","4","0","0","0","862",Surely
Athens,IL,"1","4","3","0","0","861",Surely
Greenview,IL,"1","4","0","0","0","860",Surely
Dawson,IL,"0","0","0","0","0","859",Do not Know
Leland Grove,IL,"1","4","0","3","0","858",Surely
Ashland,IL,"1","4","2","0","0","857",Surely
Sherman,IL,"1","2","0","0","0","856",Possible
Vandalia,IL,"1","4","2","0","0","855",Surely
Irvington,IL,"1","4","0","3","0","854",Surely
Hoyleton,IL,"1","4","0","3","0","853",Surely
Kinmundy,IL,"1","4","0","0","0","852",Surely
Ashley,IL,"1","4","0","0","0","851",Surely
Sandoval,IL,"1","4","2","3","0","850",Surely
Richview,IL,"1","4","0","3","0","849",Surely
Greenup,IL,"1","4","0","2","0","848",Surely
Montrose,IL,"1","4","2","0","0","847",Surely
Hazel Dell,IL,"1","4","0","3","0","846",Surely
St. Elmo,IL,"1","4","0","3","0","845",Surely
Casey,IL,"0","4","3","0","0","844",Surely
Marshall,IL,"1","4","0","0","0","843",Surely
Martinsville,IL,"1","4","0","0","0","842",Surely
Rosiclare,IL,"1","4","0","0","0","841",Surely
Lamb,IL,"1","4","0","0","0","840",Surely
Cave-in-Rock,IL,"1","4","3","0","0","839",Surely
Ava,IL,"1","4","0","3","0","838",Surely
Marissa,IL,"1","4","0","3","0","837",Surely
Tamaroa,IL,"1","4","0","0","0","836",Surely
Steeleville,IL,"1","4","0","0","0","835",Surely
Beaucoup,IL,"1","4","0","0","0","834",Surely
Okawville,IL,"1","4","0","0","0","833",Surely
Red Bud,IL,"1","3","0","0","0","832",Probable
Chillicothe,IL,"1","4","0","2","0","831",Surely
Morton,IL,"1","4","0","0","0","830",Surely
Metamora,IL,"1","4","0","3","0","829",Surely
Washington,IL,"1","4","0","0","0","828",Surely
Creve Coeur,IL,"0","0","0","0","0","827",Do not Know
South Pekin,IL,"1","4","0","0","0","826",Surely
Pekin,IL,"1","4","3","0","1","825",Surely
Marquette Heights,IL,"1","4","0","0","0","824",Surely
Witt,IL,"1","3","0","0","0","823",Probable
Assumption,IL,"1","4","2","0","0","822",Surely
Moweaqua,IL,"1","4","0","0","0","821",Surely
Ramsey,IL,"1","4","0","0","0","820",Surely
Freeburg,IL,"1","4","0","0","0","819",Surely
Albers,IL,"1","4","0","3","0","818",Surely
Aviston,IL,"1","4","0","3","0","817",Surely
Breese,IL,"1","4","0","3","0","816",Surely
Clinton County,IL,"0","0","0","0","0","815",Do not Know
Posey,IL,"1","4","0","0","0","814",Surely
Germantown,IL,"1","4","0","0","0","813",Surely
Trenton,IL,"1","4","0","3","0","812",Surely
New Baden,IL,"1","4","0","3","0","811",Surely
Staunton,IL,"1","4","0","2","0","810",Surely
Bartelso,IL,"1","4","0","3","0","809",Surely
O'Fallon,IL,"0","0","0","0","0","808",Do not Know
Carlyle,IL,"1","3","0","0","0","807",Probable
St. Rose,IL,"1","4","0","3","0","806",Surely
Valier,IL,"0","3","0","0","0","805",Probable
Albion,IL,"1","4","3","0","0","804",Surely
Mascoutah,IL,"1","4","3","0","0","803",Surely
Beckemeyer,IL,"1","4","0","0","0","802",Surely
Elmwood,IL,"1","0","0","0","0","801",Do not Know
Bartonville,IL,"1","3","0","0","0","800",Probable
Coal City,IL,"1","3","3","0","0","799",Probable
St. Anne,IL,"1","3","0","0","0","798",Probable
Tuscola,IL,"1","2","3","0","0","797",Possible
Ridgway,IL,"0","3","0","0","0","796",Probable
Equality,IL,"1","3","0","3","0","795",Probable
Golconda,IL,"0","3","0","0","0","794",Probable
Omaha,IL,"1","2","0","0","0","793",Possible
Highland,IL,"1","3","0","0","0","792",Probable
Maryville,IL,"2","2","0","0","0","791",Possible
Patoka,IL,"1","3","0","0","0","790",Probable
Iuka,IL,"1","3","0","0","0","789",Probable
Bluford,IL,"1","2","0","0","0","788",Possible
Oakawville,IL,"0","0","0","0","0","787",Do not Know
Pinckneyville,IL,"1","4","2","0","0","786",Surely
Fairfield,IL,"1","4","3","2","0","785",Surely
Mt. Carmel,IL,"1","4","3","3","0","784",Surely
Norris City,IL,"1","4","0","3","0","783",Surely
Enfield,IL,"1","4","2","0","0","782",Surely
Grayville,IL,"1","3","0","0","0","781",Probable
Wayne City,IL,"1","4","0","0","0","780",Surely
Palestine,IL,"1","2","0","0","0","779",Possible
Flora,IL,"1","2","3","3","0","778",Possible
Olney,IL,"1","4","0","0","0","777",Surely
Robinson,IL,"1","4","3","3","0","776",Surely
Oblong,IL,"1","4","3","2","0","775",Surely
Bridgeport,IL,"1","2","0","0","0","774",Possible
Carlinville,IL,"1","3","0","0","0","773",Probable
Panama,IL,"1","2","0","0","0","772",Possible
Greenfield,IL,"1","2","0","0","0","771",Possible
New Minden,IL,"1","3","0","0","0","770",Probable
Buckner,IL,"1","2","0","0","0","769",Possible
West City,IL,"1","2","0","0","0","768",Possible
Orient,IL,"1","2","0","0","0","767",Possible
Teutopolis,IL,"1","3","0","0","0","766",Probable
Toledo,IL,"1","3","0","0","0","765",Probable
Jewett,IL,"1","3","0","0","0","764",Probable
Altamont,IL,"1","2","0","0","0","763",Possible
Brownstown,IL,"1","2","0","0","0","762",Possible
Pocahontas,IL,"1","2","0","0","0","761",Possible
Pierron,IL,"1","2","0","0","0","760",Possible
St. Jacob,IL,"1","2","0","0","0","759",Possible
Nokomis,IL,"1","2","0","0","0","758",Possible
Crossville,IL,"1","3","3","0","0","757",Probable
West Salem,IL,"1","2","0","0","0","756",Possible
Chester,IL,"1","2","2","0","0","755",Possible
Evansville,IL,"1","2","0","0","0","754",Possible
Waterloo,IL,"1","2","2","3","0","753",Possible
Danvers,IL,"1","2","0","0","0","752",Possible
De Land,IL,"1","3","0","0","0","751",Probable
Atwood,IL,"1","2","0","3","0","750",Possible
Homer,IL,"1","2","0","0","0","749",Possible
Rochester,IL,"1","2","0","0","0","748",Possible
Cantrall,IL,"1","2","0","0","0","747",Possible
Carmi,IL,"1","2","0","0","0","746",Possible
Lawrenceville,IL,"1","1","0","0","0","745",Unlikely
Grant Park,IL,"1","4","0","0","0","744",Surely
Mount Prospect,IL,"2","3","0","0","0","743",Probable
Glen Ellyn,IL,"2","2","0","0","0","742",Possible
DuPage County,IL,"4","2","0","0","0","741",Possible
Addison,IL,"2","2","0","0","0","740",Possible
Bartlett,IL,"2","2","0","0","0","739",Possible
Bensenville,IL,"2","2","0","0","0","738",Possible
Bloomingdale,IL,"2","2","0","0","0","737",Possible
Bolingbrook,IL,"2","2","0","0","0","736",Possible
Burr Ridge,IL,"2","2","0","0","0","735",Possible
Clarendon Hills,IL,"2","3","0","0","0","734",Probable
Cloverdale,IL,"2","2","0","0","0","733",Possible
Darien,IL,"2","3","0","0","0","732",Probable
Downers Grove,IL,"2","2","0","0","0","731",Possible
Elmhurst,IL,"2","2","0","0","0","730",Possible
Eola,IL,"2","2","0","0","0","729",Possible
Flowerfield,IL,"2","2","0","0","0","728",Possible
Forest Park,IL,"2","3","0","0","0","727",Probable
Fox Valley,IL,"2","2","0","0","0","726",Possible
Franklin Park,IL,"2","2","0","0","0","725",Possible
Glendale Heights,IL,"2","2","0","0","0","724",Possible
Hinsdale,IL,"2","0","0","0","0","723",Do not Know
Itasca,IL,"2","2","0","0","0","722",Possible
Keeneyville,IL,"2","2","0","0","0","721",Possible
Lemont,IL,"2","3","3","0","0","720",Probable
Lisle,IL,"2","2","0","0","0","719",Possible
Medinah,IL,"2","2","0","0","0","718",Possible
Oak Brook,IL,"2","2","0","0","0","717",Possible
Oakbrook Terrace,IL,"2","2","0","0","0","716",Possible
Roselle,IL,"2","2","0","0","0","715",Possible
Villa Park,IL,"2","3","0","0","0","714",Probable
Warrenville,IL,"2","3","0","0","0","713",Probable
Wayne,IL,"2","2","0","0","0","712",Possible
West Chicago,IL,"2","3","0","0","0","711",Probable
Westmont,IL,"2","3","0","0","0","710",Probable
Wheaton,IL,"2","2","0","0","0","709",Possible
Willowbrook,IL,"2","2","0","0","0","708",Possible
Winfield,IL,"2","2","0","0","0","707",Possible
Wood Dale,IL,"2","3","0","0","0","706",Probable
Woodridge,IL,"2","2","0","0","0","705",Possible
Orland Park,IL,"2","2","0","0","0","704",Possible
Park Ridge,IL,"0","0","0","0","0","703",Do not Know
Lombard,IL,"2","3","0","0","0","702",Probable
Melrose Park,IL,"0","0","0","0","0","701",Do not Know
Meredosia,IL,"1","3","0","0","0","700",Probable
Nocona,TX,"0","0","3","0","0","699",Do not Know
Seneca,KS,"0","3","0","0","0","698",Probable
Eleanor,WV,"1","4","0","1","0","697",Surely
Dyess,AR,"1","4","0","1","0","696",Surely
Teste,TN,"1","0","0","0","0","695",Do not Know
Wyanet,IL,"1","3","0","0","0","694",Probable
Cedaredge,CO,"1","2","0","3","0","693",Possible
Longmont,CO,"0","0","0","0","0","692",Do not Know
Aubrey,Tx,"1","3","0","0","0","691",Probable
Tioga,TX,"1","3","0","0","0","690",Probable
Gore,OK,"1","2","0","0","0","689",Possible
Walters,OK,"1","2","0","0","0","688",Possible
Tioga,OK,"0","0","0","0","0","687",Do not Know
Princeton,IL,"1","2","0","0","0","686",Possible
Durant,OK,"1","2","0","0","0","685",Possible
Skiatook,OK,"1","2","3","0","0","684",Possible
Blair,OK,"1","3","0","0","0","683",Probable
Rantoul,IL,"1","3","0","0","0","682",Probable
Purcell,OK,"1","2","3","0","0","681",Possible
Bixby,OK,"1","2","3","0","0","680",Possible
Lexington,OK,"1","4","0","0","0","679",Surely
Madill,OK,"1","3","0","0","0","678",Probable
Erick,OK,"1","3","0","0","0","677",Probable
